Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
289,Rice,-11.09,99.0,110.1,67.5,-0.040999999999999995,0.21,104.2,104.0,1.04,2018
290,Holy Cross,-11.36,97.5,108.9,62.9,0.026000000000000002,-6.02,101.8,107.8,-3.43,2018
291,McNeese St.,-11.47,100.6,112.1,70.4,-0.025,-5.05,101.5,106.5,7.74,2018
292,Fordham,-11.63,94.5,106.1,66.0,0.009000000000000001,-0.38,104.5,104.9,-5.39,2018
293,Western Illinois,-11.65,96.1,107.7,68.1,0.006,-2.21,104.8,107.1,-6.56,2018
294,Tennessee Martin,-11.66,95.5,107.2,66.1,-0.019,-4.41,103.2,107.6,-2.8,2018
295,Grambling St.,-11.71,94.3,106.0,72.2,0.102,-9.87,98.8,108.7,3.07,2018
296,Little Rock,-11.91,93.8,105.7,65.0,-0.057999999999999996,-1.35,104.1,105.4,-0.37,2018
297,Binghamton,-11.93,97.4,109.4,66.1,-0.061,-6.88,101.0,107.9,-8.65,2018
298,Samford,-12.0,107.7,119.7,71.2,-0.036000000000000004,-2.09,103.5,105.6,3.84,2018
299,Dartmouth,-12.09,98.5,110.6,66.8,-0.043,-3.61,103.5,107.1,-2.86,2018
300,Cleveland St.,-12.14,97.9,110.0,67.1,0.032,-3.64,102.8,106.5,-1.36,2018
301,San Jose St.,-12.27,95.4,107.7,67.1,-0.03,3.05,107.2,104.2,-0.88,2018
302,Western Carolina,-12.3,95.7,108.0,69.4,0.102,-0.66,105.1,105.8,5.22,2018
303,Siena,-12.38,96.5,108.9,65.7,-0.015,-3.01,104.0,107.0,0.49,2018
304,Chattanooga,-12.53,99.2,111.8,65.5,-0.024,-3.39,103.4,106.8,-2.1,2018
305,Sacred Heart,-12.57,96.0,108.6,68.4,-0.076,-8.04,100.9,109.0,-3.94,2018
306,North Carolina A&T,-12.68,98.1,110.8,69.3,0.098,-11.8,98.7,110.5,-1.27,2018
307,East Carolina,-12.78,96.7,109.5,68.7,0.026000000000000002,-2.46,102.9,105.3,-16.35,2018
308,Charlotte,-12.81,99.3,112.1,71.2,-0.024,0.17,104.6,104.4,-3.21,2018
309,Kennesaw St.,-12.82,98.9,111.8,68.5,-0.023,-4.51,103.7,108.2,2.54,2018
310,Central Connecticut,-12.85,98.0,110.8,64.5,0.066,-7.33,100.9,108.2,-3.69,2018
311,Texas A&M Corpus Chris,-12.88,94.5,107.4,68.2,-0.015,-6.14,100.9,107.1,4.54,2018
312,Norfolk St.,-13.14,95.4,108.6,69.0,0.002,-11.0,98.9,109.9,0.76,2018
313,St. Francis NY,-13.17,98.7,111.8,69.2,0.022000000000000002,-7.33,101.1,108.4,-2.35,2018
314,Stetson,-13.27,98.5,111.8,69.8,-0.040999999999999995,-6.49,102.1,108.6,-4.23,2018
315,The Citadel,-13.33,101.6,114.9,77.2,0.062,-2.58,103.5,106.1,0.98,2018
316,North Carolina Central ,-13.41,96.6,110.0,65.0,0.019,-12.78,98.4,111.2,-1.47,2018
317,Savannah St.,-13.55,100.9,114.5,82.3,0.10800000000000001,-6.81,101.2,108.0,15.2,2018
318,SIU Edwardsville,-13.61,99.4,113.0,69.2,0.069,-2.94,103.4,106.4,-1.32,2018
319,Detroit,-14.2,102.6,116.8,72.4,-0.011000000000000001,-2.07,103.6,105.7,4.64,2018
320,Jacksonville,-14.27,94.2,108.4,68.6,0.06,-6.82,102.3,109.1,-3.11,2018
321,Marist,-14.47,98.5,112.9,69.6,-0.048,-4.24,103.4,107.6,-3.4,2018
322,Youngstown St.,-14.56,101.4,115.9,71.1,-0.01,-1.7,103.2,104.9,5.26,2018
323,Loyola MD,-14.58,96.2,110.8,68.4,0.02,-5.37,102.6,108.0,-1.61,2018
324,Morgan St.,-14.82,96.3,111.1,68.9,-0.06,-11.95,98.6,110.5,0.36,2018
325,Cal Poly,-14.98,98.2,113.2,66.2,0.051,-1.41,103.8,105.2,0.51,2018
326,Southern,-15.51,94.3,109.8,68.0,0.051,-11.24,98.1,109.3,6.62,2018
327,Northern Arizona,-16.02,93.5,109.5,68.6,-0.03,0.26,105.3,105.0,3.45,2018
328,American,-16.14,95.6,111.8,66.5,-0.061,-6.16,102.1,108.3,-3.16,2018
329,Arkansas Pine Bluff,-16.45,93.6,110.0,67.5,0.044000000000000004,-9.64,98.9,108.5,3.38,2018
330,Cal St. Northridge,-16.46,96.7,113.2,65.8,-0.047,-3.23,102.8,106.0,-3.5,2018
331,VMI,-17.43,89.9,107.4,68.8,0.024,-3.79,104.1,107.9,-2.5,2018
332,Maine,-17.46,90.9,108.4,71.3,-0.002,-2.82,103.5,106.3,-1.56,2018
333,Houston Baptist,-17.64,98.9,116.5,73.5,-0.092,-3.59,102.5,106.1,9.29,2018
334,Presbyterian,-17.66,97.8,115.5,63.4,0.062,-5.21,101.7,106.9,-3.37,2018
335,Howard,-19.04,99.4,118.5,69.9,-0.039,-9.5,99.6,109.1,2.28,2018
336,Alcorn St.,-19.43,95.0,114.4,68.0,-0.055,-9.05,99.6,108.7,9.81,2018
337,Jackson St.,-19.6,89.4,109.0,64.1,0.062,-10.01,99.7,109.7,4.32,2018
338,USC Upstate,-19.77,105.2,125.0,69.0,-0.051,-3.44,103.0,106.4,1.76,2018
339,Alabama St.,-19.86,95.8,115.7,68.8,-0.018000000000000002,-9.14,99.2,108.4,4.68,2018
