Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM
121,Tulsa,4.86,102.4,97.6,65.7,-0.024,8.47,105.3,96.8,-3.54
122,Pacific,4.78,103.1,98.3,67.2,0.021,8.79,106.8,98.0,3.91
123,South Carolina,4.76,103.7,98.9,74.8,-0.055,14.95,109.3,94.4,8.73
124,Bowling Green,4.7,107.0,102.3,70.4,-0.018000000000000002,4.12,105.7,101.6,1.68
125,Wofford,4.66,106.4,101.8,66.1,0.025,3.38,104.9,101.5,6.21
126,East Tennessee St.,4.29,103.1,98.9,65.6,-0.063,3.91,104.9,101.0,4.78
127,Weber St.,4.01,107.0,103.0,72.1,-0.027999999999999997,-4.39,100.3,104.6,5.89
128,Mercer,3.71,106.2,102.5,68.0,-0.002,2.06,104.0,101.9,1.5
129,UTEP,3.53,103.6,100.1,68.1,-0.065,5.29,103.8,98.5,18.87
130,Vermont,3.5,105.5,102.0,66.6,-0.069,-7.92,96.3,104.2,-99.0
131,Morehead St. ,3.47,100.6,97.2,65.4,0.146,-1.11,102.0,103.1,16.33
132,DePaul,3.45,97.7,94.3,70.8,-0.048,13.74,109.2,95.5,-8.85
133,George Mason,3.38,101.3,98.0,68.3,0.046,3.62,104.5,100.9,-4.78
134,Miami FL,3.38,102.1,98.7,68.0,0.019,12.07,109.3,97.3,-7.87
135,California,3.25,103.7,100.5,65.0,-0.067,12.02,108.9,96.8,1.29
136,Oral Roberts ,3.05,108.6,105.6,71.6,0.027999999999999997,1.77,104.0,102.2,21.92
137,TCU,2.89,104.5,101.7,66.8,0.08900000000000001,11.72,107.7,96.0,0.19
138,Texas A&M,2.81,101.7,98.9,64.6,0.018000000000000002,8.51,106.6,98.1,-6.0
139,Temple,2.7,101.3,98.6,68.9,-0.092,8.47,105.6,97.2,-13.51
140,North Dakota St.,2.39,103.4,101.0,64.8,-0.033,0.51,103.9,103.4,10.69
141,Bradley,2.23,103.6,101.4,66.1,-0.086,5.94,105.5,99.5,6.0
142,Southern Utah,2.12,108.0,105.9,70.1,0.08199999999999999,-4.92,100.0,105.0,-1.65
143,Ball St.,2.01,103.3,101.3,70.9,-0.049,4.77,106.3,101.5,4.0
144,Boston College,1.99,105.1,103.1,71.1,-0.09699999999999999,14.14,110.8,96.6,13.09
145,Cal St. Bakersfield,1.95,103.8,101.9,63.9,-0.024,-0.02,101.9,101.9,1.78
146,Old Dominion,1.86,101.3,99.5,67.7,0.14,3.1,102.8,99.7,5.89
147,Tulane,1.78,99.5,97.7,67.6,0.013000000000000001,6.83,104.1,97.3,-14.82
148,VMI,1.43,107.9,106.4,70.1,-0.048,3.02,104.6,101.6,5.28
149,Kansas St.,1.28,99.4,98.2,65.7,0.026000000000000002,13.71,109.7,95.9,-1.93
150,Stephen F. Austin,1.24,103.1,101.9,69.8,0.047,-7.87,98.0,105.9,-2.35
151,Miami OH,1.22,106.0,104.8,66.0,0.002,3.13,104.9,101.7,-0.74
152,Georgia St.,1.19,105.7,104.5,70.8,0.076,-1.74,101.2,102.9,4.7
153,Drexel ,1.13,106.6,105.5,64.2,0.006999999999999999,-2.14,101.2,103.3,-5.59
154,UTSA,1.04,106.7,105.6,72.0,0.021,3.32,102.5,99.2,4.34
155,Detroit,1.02,109.4,108.4,67.4,-0.051,-1.69,103.5,105.2,8.8
156,Chattanooga,0.98,103.0,102.0,66.6,0.102,0.67,103.2,102.5,-3.6
157,Santa Clara,0.96,99.8,98.9,70.6,0.147,4.46,103.7,99.2,-0.33
158,Northern Iowa,0.73,103.4,102.7,69.1,-0.022000000000000002,7.24,105.1,97.9,14.8
159,New Mexico St.,0.71,103.7,103.0,64.9,-0.066,-3.53,99.7,103.3,-5.11
160,Jacksonville St.,0.7,105.0,104.3,66.1,0.017,-2.68,101.0,103.7,4.72
161,East Carolina,0.56,99.2,98.6,68.1,-0.016,5.73,104.3,98.5,-6.87
162,Navy,0.55,103.9,103.3,66.2,0.179,-5.03,98.1,103.1,7.91
163,Washington,0.37,102.3,101.9,71.2,-0.061,14.28,110.0,95.7,9.71
164,Cleveland St. ,0.37,100.7,100.3,66.3,0.19899999999999998,-0.61,105.2,105.8,20.51
165,Northeastern,0.32,98.6,98.3,67.2,0.055999999999999994,3.18,105.2,102.1,15.32
166,Princeton,0.3,104.0,103.7,66.9,0.0,-99.0,0.0,200.0,-99.0
167,UMBC,0.19,100.7,100.5,67.8,-0.013000000000000001,-4.54,98.6,103.2,-3.12
168,South Dakota,0.19,106.9,106.7,69.2,-0.015,-0.48,102.9,103.4,10.26
169,Murray St.,0.1,103.3,103.2,66.4,-0.177,-5.03,99.5,104.5,-3.31
170,Wake Forest,-0.13,101.4,101.5,67.2,-0.109,13.75,110.5,96.7,-17.69
171,Wyoming,-0.14,108.9,109.0,69.3,0.046,0.77,102.1,101.3,-12.57
172,Iowa St.,-0.22,100.1,100.3,70.1,-0.12,17.1,111.3,94.2,3.42
173,Eastern Kentucky,-0.3,101.0,101.3,75.0,0.085,-5.36,99.7,105.1,-8.01
174,James Madison,-0.3,103.6,103.9,72.1,-0.048,-1.79,101.0,102.8,-0.16
175,South Florida,-0.34,100.6,100.9,67.0,0.049,9.53,105.8,96.3,1.99
176,Coastal Carolina,-0.36,100.2,100.6,70.9,-0.081,-6.18,98.8,105.0,-12.98
177,Florida Atlantic,-0.71,102.0,102.7,68.3,-0.098,-1.37,101.2,102.5,-0.53
178,UNLV,-0.72,103.6,104.3,66.3,-0.037000000000000005,4.98,104.0,99.1,12.89
179,Bryant,-0.73,103.5,104.2,73.5,-0.039,-7.9,98.2,106.1,4.85
180,Gardner Webb,-0.8,104.5,105.3,66.9,-0.165,-3.72,100.3,104.0,12.89
181,Harvard,-1.04,101.9,102.9,68.3,0.0,-99.0,0.0,200.0,-99.0
